Nama,Roles,Birth Date,Birth Place,Relatives,Link Profile,Link Source
H. Tubagus Suhandan Umar,"[{'role_name': 'Bupati Bekasi', 'role_start': '1950-08-15', 'role_end': '1951-11-01'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
R. Sampoerno Kolopaking,"[{'role_name': 'Bupati Bekasi', 'role_start': '1951-11-01', 'role_end': '1958-01-30'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
Suhandan Umar,"[{'role_name': 'Bupati Bekasi', 'role_start': '-', 'role_end': '-'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
M. Nausan,"[{'role_name': 'Bupati Bekasi', 'role_start': '1958-01-30', 'role_end': '1960-01-26'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
R. Son Prawira Adiningrat,"[{'role_name': 'Bupati Bekasi', 'role_start': '1958-07-01', 'role_end': '1967-01-30'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
Maun Al Ismaun,"[{'role_name': 'Bupati Bekasi', 'role_start': '1960-01-27', 'role_end': '1967-01-21'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
M. Sukat Subandi,"[('Bupati Bekasi ke-5', '1967-01-21', '1973-11-09')]",1926-05-19,,[],https://id.wikipedia.org/wiki/Sukat_Subandi,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
H. Abdul Fatah,"[{'role_name': 'Bupati Bekasi', 'role_start': '-', 'role_end': '-'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
,"[{'role_name': 'Bupati Bekasi', 'role_start': '-', 'role_end': '-'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
H.Suko Martono,"[('Anggota Dewan Perwakilan Rakyat', '1997-10-01', '1999-10-01'), ('Bupati Bekasi', '1983-11-09', '1993-11-09')]",1941-07-24,"Madiun,Hindia Belanda","[{'connection': 'spouse', 'description': 'Suami/istri', 'name': 'Budhi Hariarti\u200b(m.1966)\u200b'}, {'connection': 'child', 'description': 'Anak', 'name': 'Andyawan Martono PutraHeri BudisusetyoAji Sandi Nugroho Kusumaningtyas'}]",https://id.wikipedia.org/wiki/Suko_Martono,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
,"[{'role_name': 'Bupati Bekasi', 'role_start': '-', 'role_end': '-'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
H. Moch. Djamhari,"[{'role_name': 'Bupati Bekasi', 'role_start': '-', 'role_end': '-'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
H.Wikanda Darmawijaya,"[('Bupati Bekasi', '1998-11-09', '2004-01-21')]",1941-08-06,"Ciamis,Hindia Belanda","[{'connection': 'spouse', 'description': 'Suami/istri', 'name': 'Ratnaningsih'}]",https://id.wikipedia.org/wiki/Wikanda_Darmawijaya,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
H. M.Saleh Manaf,"[('Bupati Bekasi', '2004-01-21', '2006-02-16')]",1950-09-18,"Meulaboh,Aceh, Indonesia","[{'connection': 'spouse', 'description': 'Suami/istri', 'name': 'Cut Rosma'}, {'connection': 'child', 'description': 'Anak', 'name': 'termasukAlmaida Rosa Putra'}]",https://id.wikipedia.org/wiki/Saleh_Manaf,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
Tenny Wishramwan,"[{'role_name': 'Bupati Bekasi', 'role_start': '2006-01-13', 'role_end': '2007-05-14'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
"Dr. H.Saduddin, M.M.","[('Bupati Bekasi ke-12', '2007-05-14', '2012-05-14'), ('Anggota Dewan Perwakilan RakyatRepublik Indonesia', '2014-10-01', '2016-10-01')]",1961-06-02,"Kampung Gabus,Sriamur,Tambun Utara,Kabupaten Bekasi,Jawa Barat, Indonesia","[{'connection': 'spouse', 'description': 'Suami/istri', 'name': 'Cucu Sugiarti'}, {'connection': 'parent', 'description': 'Orang tua', 'name': 'Marzuki Saat (ayah)Aisyah (ibu)'}]",https://id.wikipedia.org/wiki/Sa%27duddin,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
dr. Hj.Neneng Hassanah Yasin,"[('Bupati Bekasi Ke-13', '2012-05-14', '2018-10-18')]",1980-07-23,"Karawang,Jawa Barat","[{'connection': 'spouse', 'description': 'Suami/istri', 'name': 'H. Almaida Rosa Putra, SE'}]",https://id.wikipedia.org/wiki/Neneng_Hassanah_Yasin,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
,"[{'role_name': 'Bupati Bekasi', 'role_start': '-', 'role_end': '-'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
"H.Eka Supria Atmaja, S.H.","[('Bupati Bekasi ke-14', '2019-06-12', '-'), (' Wakil Bupati Bekasi ke-6', '2017-05-22', '2018-10-18'), ('Ketua Dewan Perwakilan Rakyat Daerah Kabupaten Bekasi', '2014-08-28', '2016-09-15')]",1973-02-09,"Kabupaten Bekasi,Jawa Barat,Indonesia","[{'connection': 'spouse', 'description': 'Suami/istri', 'name': 'Kholilah'}]",https://id.wikipedia.org/wiki/Eka_Supria_Atmaja,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
,"[{'role_name': 'Bupati Bekasi', 'role_start': '-', 'role_end': '-'}]",,,,-,https://id.wikipedia.org/wiki/Daftar_Bupati_Bekasi
